No.     Time           Source                Destination           Protocol Length Info
      1 0.000000       63.34.202.188         149.43.220.33         TLSv1.2  495    Application Data
      2 0.000095       149.43.220.33         63.34.202.188         TCP      66     51395 → 443 [ACK] Seq=1 Ack=430 Win=2041 Len=0 TSval=1851774823 TSecr=3648940857
      3 0.717380       12:01:00:00:01:00     Apple_8e:ac:12        ARP      60     149.43.192.1 is at 12:01:00:00:01:00
      4 0.956225       149.43.220.33         149.43.134.83         DNS      80     Standard query 0xb742 A cc-api-data.adobe.io
      5 0.974153       149.43.220.33         199.232.36.81         TCP      54     51392 → 443 [ACK] Seq=1 Ack=1 Win=2049 Len=0
      6 0.975267       149.43.134.83         149.43.220.33         DNS      144    Standard query response 0xb742 A cc-api-data.adobe.io A 34.193.227.236 A 107.22.247.231 A 18.207.85.246 A 54.144.73.197
      7 0.979293       149.43.220.33         34.193.227.236        TCP      78     59297 → 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3856524773 TSecr=0 SACK_PERM=1
      8 0.982845       199.232.36.81         149.43.220.33         TCP      66     [TCP ACKed unseen segment] 443 → 51392 [ACK] Seq=1 Ack=2 Win=290 Len=0 TSval=1879842874 TSecr=1202480411
      9 0.995575       34.193.227.236        149.43.220.33         TCP      74     443 → 59297 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1386 SACK_PERM=1 TSval=1140213175 TSecr=3856524773 WS=4096
     10 0.996296       149.43.220.33         34.193.227.236        TCP      66     59297 → 443 [ACK] Seq=1 Ack=1 Win=131904 Len=0 TSval=3856524791 TSecr=1140213175
     11 0.996302       149.43.220.33         34.193.227.236        TLSv1.2  583    Client Hello
     12 1.013012       34.193.227.236        149.43.220.33         TCP      66     443 → 59297 [ACK] Seq=1 Ack=518 Win=28672 Len=0 TSval=1140213193 TSecr=3856524791
     13 1.013013       34.193.227.236        149.43.220.33         TLSv1.2  162    Server Hello
     14 1.013013       34.193.227.236        149.43.220.33         TCP      1440   443 → 59297 [ACK] Seq=97 Ack=518 Win=28672 Len=1374 TSval=1140213193 TSecr=3856524791 [TCP segment of a reassembled PDU]
     15 1.013015       34.193.227.236        149.43.220.33         TCP      1440   443 → 59297 [ACK] Seq=1471 Ack=518 Win=28672 Len=1374 TSval=1140213193 TSecr=3856524791 [TCP segment of a reassembled PDU]
     16 1.013017       34.193.227.236        149.43.220.33         TLSv1.2  820    Certificate
     17 1.013932       149.43.220.33         34.193.227.236        TCP      66     59297 → 443 [ACK] Seq=518 Ack=3599 Win=128256 Len=0 TSval=3856524808 TSecr=1140213193
     18 1.013940       149.43.220.33         34.193.227.236        TCP      66     [TCP Window Update] 59297 → 443 [ACK] Seq=518 Ack=3599 Win=131072 Len=0 TSval=3856524808 TSecr=1140213193
     19 1.015133       34.193.227.236        149.43.220.33         TLSv1.2  404    Server Key Exchange
     20 1.015134       34.193.227.236        149.43.220.33         TLSv1.2  75     Server Hello Done
     21 1.015260       149.43.220.33         34.193.227.236        TCP      66     59297 → 443 [ACK] Seq=518 Ack=3946 Win=130688 Len=0 TSval=3856524810 TSecr=1140213193
     22 1.020413       149.43.220.33         34.193.227.236        TLSv1.2  192    Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
     23 1.035837       34.193.227.236        149.43.220.33         TCP      66     443 → 59297 [ACK] Seq=3946 Ack=644 Win=28672 Len=0 TSval=1140213216 TSecr=3856524815
     24 1.035838       34.193.227.236        149.43.220.33         TLSv1.2  72     Change Cipher Spec
     25 1.035839       34.193.227.236        149.43.220.33         TLSv1.2  111    Encrypted Handshake Message
     26 1.037100       149.43.220.33         34.193.227.236        TCP      66     59297 → 443 [ACK] Seq=644 Ack=3997 Win=131008 Len=0 TSval=3856524831 TSecr=1140213216
     27 1.037795       149.43.220.33         34.193.227.236        TCP      1440   59297 → 443 [ACK] Seq=644 Ack=3997 Win=131072 Len=1374 TSval=3856524833 TSecr=1140213216 [TCP segment of a reassembled PDU]
     28 1.037801       149.43.220.33         34.193.227.236        TLSv1.2  286    Application Data
     29 1.039421       149.43.220.33         34.193.227.236        TCP      1440   59297 → 443 [ACK] Seq=2238 Ack=3997 Win=131072 Len=1374 TSval=3856524835 TSecr=1140213216 [TCP segment of a reassembled PDU]
     30 1.039424       149.43.220.33         34.193.227.236        TLSv1.2  109    Application Data
     31 1.053011       34.193.227.236        149.43.220.33         TCP      78     [TCP Window Update] 443 → 59297 [ACK] Seq=3997 Ack=644 Win=32768 Len=0 TSval=1140213233 TSecr=3856524831 SLE=2018 SRE=2238
     32 1.053012       34.193.227.236        149.43.220.33         TCP      66     443 → 59297 [ACK] Seq=3997 Ack=2238 Win=32768 Len=0 TSval=1140213234 TSecr=3856524833
     33 1.054011       34.193.227.236        149.43.220.33         TCP      78     [TCP Window Update] 443 → 59297 [ACK] Seq=3997 Ack=2238 Win=36864 Len=0 TSval=1140213234 TSecr=3856524833 SLE=3612 SRE=3655
     34 1.054013       34.193.227.236        149.43.220.33         TCP      66     443 → 59297 [ACK] Seq=3997 Ack=3655 Win=40960 Len=0 TSval=1140213234 TSecr=3856524835
     35 1.057237       34.193.227.236        149.43.220.33         TLSv1.2  278    Application Data
     36 1.057238       34.193.227.236        149.43.220.33         TLSv1.2  97     Encrypted Alert
     37 1.057555       149.43.220.33         34.193.227.236        TCP      66     59297 → 443 [ACK] Seq=3655 Ack=4240 Win=130816 Len=0 TSval=3856524853 TSecr=1140213238
     38 1.058196       149.43.220.33         34.193.227.236        TLSv1.2  97     Encrypted Alert
     39 1.058638       149.43.220.33         34.193.227.236        TCP      66     59297 → 443 [FIN, ACK] Seq=3686 Ack=4240 Win=131072 Len=0 TSval=3856524854 TSecr=1140213238
     40 1.073434       34.193.227.236        149.43.220.33         TCP      66     443 → 59297 [FIN, ACK] Seq=4240 Ack=3686 Win=40960 Len=0 TSval=1140213253 TSecr=3856524853
     41 1.073658       149.43.220.33         34.193.227.236        TCP      66     [TCP Out-Of-Order] 59297 → 443 [FIN, ACK] Seq=3686 Ack=4241 Win=131072 Len=0 TSval=3856524869 TSecr=1140213253
     42 1.073676       34.193.227.236        149.43.220.33         TCP      66     443 → 59297 [ACK] Seq=4241 Ack=3687 Win=40960 Len=0 TSval=1140213254 TSecr=3856524854
     43 1.949378       149.43.220.33         142.250.31.188        TCP      54     51394 → 5228 [ACK] Seq=1 Ack=1 Win=2048 Len=0
     44 1.971385       142.250.31.188        149.43.220.33         TCP      66     [TCP ACKed unseen segment] 5228 → 51394 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=2846081376 TSecr=2880263431
     45 3.686868       63.34.202.188         149.43.220.33         TLSv1.2  498    Application Data
     46 3.686987       149.43.220.33         63.34.202.188         TCP      66     51395 → 443 [ACK] Seq=1 Ack=862 Win=2041 Len=0 TSval=1851778510 TSecr=3648944542
     47 9.523882       107.20.137.119        149.43.220.33         TCP      66     443 → 59296 [ACK] Seq=1 Ack=1 Win=13 Len=0 TSval=585720478 TSecr=2431120801
